Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric",118.713250,-116.681250,90.000000,bottom
"C2","0.1uF","C_0805_2012Metric",136.493250,-120.491250,90.000000,bottom
"C3","0.1uF","C_0805_2012Metric",131.413250,-134.080250,180.000000,bottom
"C4","22pF","C_0805_2012Metric",131.826000,-112.395000,90.000000,bottom
"C5","22pF","C_0805_2012Metric",121.888250,-112.363250,270.000000,bottom
"C6","10uF","C_0805_2012Metric",116.744750,-130.746500,270.000000,bottom
"C7","1uF","C_0805_2012Metric",116.094750,-124.428250,180.000000,bottom
"D1","SOD-123","D_SOD-123",156.368750,-113.506250,90.000000,bottom
"D2","SOD-123","D_SOD-123",156.368750,-132.556250,90.000000,bottom
"D3","SOD-123","D_SOD-123",175.418750,-113.506250,90.000000,bottom
"D4","SOD-123","D_SOD-123",175.418750,-132.556250,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",103.187500,-123.031250,90.000000,bottom
"R1","22","R_0805_2012Metric",107.156250,-116.681250,90.000000,bottom
"R2","22","R_0805_2012Metric",110.331250,-116.681250,90.000000,bottom
"R3","10k","R_0805_2012Metric",115.284250,-116.681250,270.000000,bottom
"R4","10k","R_0805_2012Metric",136.525000,-129.381250,90.000000,bottom
"SW1","SW_Push","SKQG-1155865",106.362500,-136.525000,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",126.841250,-124.936250,0.000000,bottom
"USB1","Molex-0548190589","Molex-0548190589",108.743750,-105.568750,270.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",126.714250,-112.363250,180.000000,bottom
